문서번호,결재유형,제목,기안(접수)자,결재권자,등록일자,수신(발신)자,처리상태,게시여부,연계유형,전자비전자구분,공개구분,공개제한근거,첨부파일여부,쪽수,목록공개여부,과제명,과제카드명,보존기한,최초발송일자
경주정보고등학교-2033,생산,전공심화동아리(게임개발) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,이정민,이효숙,2025-02-21,경상북도교육감(미래교육정보과장),발송,N,일반,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,2025-02-21
경주정보고등학교-1914,생산,2024학년도 전공심화동아리 관련 보조사업실적보고서 제출,이정민,이효숙,2025-02-19,경상북도교육감(창의인재과장),발송,N,일반,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,2025-02-19
경주정보고등학교-768,생산,2025년 경상북도 기능경기대회 참가원서 접수,이정민,이효숙,2025-01-20,내부결재,종료,N,일반,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-743,생산,[전공심화동아리] 전공심화동아리(게임개발) 지방기능경기대회 대비 겨울방학 특강 실시,이정민,이효숙,2025-01-17,내부결재,종료,N,지출품의,전자,부분공개,6호,Y,2,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-71,생산,[전공심화동아리] 전공심화동아리 1~2월 운영 계획,이정민,이효숙,2025-01-02,내부결재,종료,N,지출품의,전자,부분공개,"6호, 7호",Y,1,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-17405,생산,기능올림픽대회 기초합동교육(IT네트워크시스템 직종) 학생 참가,이정민,이효숙,2024-12-19,내부결재,종료,N,지출품의,전자,비공개,6호,Y,2,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-16611,생산,2024년도 교육시설 이용자 만족도 조사 가정통신문 안내,이정민,이효숙,2024-12-03,내부결재,종료,N,일반,전자,공개,,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-16346,생산,[전공심화동아리] 전공심화동아리 12월 운영 계획,이정민,이효숙,2024-11-29,내부결재,종료,N,지출품의,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,
경주정보고등학교-16059,생산,전공심화동아리(게임개발) 운영을 위한 유해정보 차단 예외 신청서 및 보안서약서 제출,이정민,이효숙,2024-11-22,경상북도교육감(미래교육정보과장),발송,N,일반,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,2024-11-26
경주정보고등학교-14830,생산,[전공심화동아리] 전공심화동아리 11월 운영 계획,이정민,권철호,2024-11-01,내부결재,종료,N,지출품의,전자,부분공개,6호,Y,1,공개,전문교과교육활동,전문교과교육활동,5년,
